player_id,age_group,prior_coding_exp,motivation_type,sessions_played,avg_session_time_min,levels_attempted,levels_completed,completion_rate,initial_difficulty,current_difficulty,difficulty_jump,avg_attempts_per_level,syntax_errors,logic_errors,hints_used,hint_rate,forum_posts,badges_earned,streak_days,time_between_sessions,performance_score,flow_score,optimal_difficulty,churned
P0001,16-18,4,Extrinsic,17,18.34,36,16,0.444,2,2,0,5.58,18,5,3,0.083,1,0,8,9.15,44.82,69.72,1,0
P0002,23-30,3,Extrinsic,17,17.22,27,25,0.926,4,3,1,1.0,1,0,1,0.037,1,7,2,0.5,82.04,93.19,1,0
P0003,19-22,3,Extrinsic,2,22.88,4,1,0.25,1,4,3,5.53,11,9,3,0.75,0,2,6,4.55,36.16,34.0,0,1
P0004,19-22,5,Social,22,31.58,50,33,0.66,2,3,1,3.26,4,2,1,0.02,1,2,11,3.8,66.25,80.4,1,0
P0005,13-15,0,Intrinsic,9,15.83,14,4,0.286,3,6,3,3.23,7,8,7,0.5,0,1,2,6.96,29.87,43.29,0,0
P0006,13-15,0,Intrinsic,15,30.01,24,7,0.292,4,4,0,4.2,5,9,2,0.083,1,2,9,0.5,29.16,62.08,1,0
P0007,13-15,0,Extrinsic,7,15.75,12,6,0.5,1,3,2,6.56,16,5,2,0.167,0,5,2,10.56,36.09,66.0,1,0
P0008,23-30,3,Social,3,15.22,7,2,0.286,3,5,2,5.16,8,11,4,0.571,0,1,4,0.5,37.02,43.14,0,1
P0009,19-22,2,Intrinsic,5,28.55,12,4,0.333,4,6,2,3.44,5,5,6,0.5,0,1,10,1.24,39.23,47.67,0,0
P0010,19-22,5,Intrinsic,20,29.38,46,29,0.63,4,7,3,3.08,9,5,4,0.087,2,3,2,0.5,67.01,72.91,1,0
P0011,13-15,0,Intrinsic,2,28.81,4,1,0.25,5,6,1,3.72,8,6,0,0.0,0,3,0,0.5,30.21,60.5,1,0
P0012,23-30,3,Intrinsic,17,11.47,48,37,0.771,4,5,1,4.81,7,5,3,0.062,4,3,2,10.03,60.31,84.67,1,0
P0013,19-22,2,Extrinsic,6,18.27,15,7,0.467,3,2,1,2.92,10,5,3,0.2,1,3,9,3.82,48.87,65.33,1,0
P0014,13-15,1,Extrinsic,11,28.58,29,4,0.138,3,4,1,3.06,8,5,3,0.103,1,0,7,2.11,26.86,51.79,0,0
P0015,13-15,0,Intrinsic,11,22.33,29,10,0.345,1,2,1,7.73,17,9,1,0.034,2,3,2,0.5,23.96,64.21,1,0
P0016,13-15,0,Intrinsic,9,13.41,22,8,0.364,4,3,1,5.12,10,8,3,0.136,1,3,3,2.24,31.25,62.09,1,0
P0017,16-18,4,Intrinsic,13,25.67,28,22,0.786,5,8,3,6.23,14,8,0,0.0,0,4,2,1.16,62.87,83.29,1,0
P0018,16-18,0,Intrinsic,11,16.28,30,19,0.633,4,7,3,2.31,1,5,1,0.033,1,2,8,0.95,47.56,74.67,1,0
P0019,16-18,0,Extrinsic,4,36.36,11,5,0.455,1,1,0,1.94,2,1,2,0.182,0,3,5,2.89,42.83,67.27,1,0
P0020,16-18,0,Social,7,34.36,10,7,0.7,3,6,3,4.61,8,6,4,0.4,0,2,6,4.7,44.47,67.0,1,0
P0021,19-22,3,Social,8,26.83,12,10,0.833,3,5,2,2.5,4,3,2,0.167,1,6,8,1.76,73.09,82.67,1,0
P0022,13-15,0,Intrinsic,13,32.89,38,22,0.579,3,5,2,6.4,13,11,1,0.026,2,6,8,2.04,41.16,74.16,1,0
P0023,16-18,1,Social,8,22.52,15,10,0.667,4,4,0,5.12,10,5,0,0.0,0,4,1,3.16,48.88,83.33,1,0
P0024,16-18,2,Extrinsic,7,28.12,19,16,0.842,3,4,1,2.7,3,4,2,0.105,2,2,8,0.5,62.94,86.95,1,0
P0025,16-18,0,Extrinsic,19,33.82,39,13,0.333,2,2,0,5.68,12,8,0,0.0,2,3,4,5.29,28.64,66.67,1,0
P0026,19-22,5,Extrinsic,16,23.96,26,6,0.231,5,4,1,3.49,6,5,2,0.077,1,1,4,5.44,47.0,57.23,0,0
P0027,13-15,0,Intrinsic,6,19.96,9,5,0.556,3,3,0,6.88,10,8,1,0.111,1,0,8,2.34,30.01,74.44,1,0
P0028,16-18,3,Intrinsic,9,8.36,15,10,0.667,2,2,0,3.22,5,12,2,0.133,1,7,8,0.62,66.12,79.33,1,0
P0029,19-22,4,Intrinsic,7,21.33,13,3,0.231,2,4,2,4.86,12,6,3,0.231,1,2,2,2.08,41.07,50.62,0,0
P0030,13-15,0,Intrinsic,21,28.59,46,42,0.913,5,4,1,5.6,12,14,1,0.022,2,2,1,0.5,50.52,93.0,1,0
P0031,19-22,4,Intrinsic,13,29.57,33,14,0.424,4,3,1,5.42,10,9,1,0.03,1,1,4,4.32,45.93,68.3,1,0
P0032,13-15,0,Extrinsic,18,26.03,50,18,0.36,3,3,0,3.77,12,6,3,0.06,0,3,1,1.12,34.48,66.2,1,0
P0033,13-15,0,Extrinsic,13,17.67,28,18,0.643,1,1,0,2.79,4,3,2,0.071,1,0,5,1.12,43.74,80.0,1,0
P0034,23-30,5,Extrinsic,20,6.19,45,21,0.467,1,1,0,3.77,12,5,0,0.0,2,2,4,8.7,57.24,73.33,1,0
P0035,23-30,4,Intrinsic,10,18.04,22,3,0.136,2,5,3,3.28,7,4,2,0.091,1,1,5,1.64,39.77,48.09,0,1
P0036,19-22,5,Social,14,19.57,32,18,0.562,3,2,1,3.73,5,9,1,0.031,1,0,6,4.68,58.18,75.19,1,0
P0037,16-18,1,Social,8,19.5,18,6,0.333,3,4,1,1.84,3,2,7,0.389,0,0,9,3.04,37.74,53.0,0,0
P0038,13-15,2,Extrinsic,22,26.95,33,22,0.667,3,2,1,1.0,3,2,1,0.03,3,2,1,1.14,60.17,80.42,1,0
P0039,19-22,2,Social,7,37.89,10,4,0.4,4,6,2,4.08,5,8,2,0.2,0,2,9,0.5,41.81,60.0,0,0
P0040,16-18,4,Extrinsic,19,22.99,31,21,0.677,1,4,3,6.39,13,6,1,0.032,0,4,4,4.79,58.11,76.9,1,0
P0041,13-15,0,Social,5,20.27,8,4,0.5,1,3,2,5.39,8,14,2,0.25,0,4,2,4.31,37.53,63.5,1,0
P0042,16-18,0,Intrinsic,12,19.93,30,21,0.7,2,4,2,3.88,9,10,5,0.167,0,7,3,0.56,53.81,76.0,1,0
P0043,13-15,0,Intrinsic,15,23.0,27,3,0.111,2,3,1,6.12,11,12,1,0.037,2,0,8,0.86,14.14,52.44,0,0
P0044,23-30,2,Intrinsic,5,15.37,14,6,0.429,1,4,3,3.65,6,3,2,0.143,0,1,5,4.36,42.53,61.14,1,0
P0045,16-18,3,Intrinsic,9,22.96,26,15,0.577,3,3,0,1.0,1,1,2,0.077,0,4,3,12.34,63.58,76.54,1,0
P0046,19-22,3,Intrinsic,4,25.61,11,7,0.636,4,3,1,1.0,3,1,1,0.091,0,4,4,5.57,65.95,77.09,1,0
P0047,16-18,1,Extrinsic,18,23.68,50,21,0.42,4,5,1,1.73,4,5,0,0.0,2,5,1,3.46,48.98,69.0,1,0
P0048,16-18,0,Extrinsic,12,25.66,22,12,0.545,4,5,1,4.72,10,5,2,0.091,1,4,4,7.41,41.01,72.55,1,0
P0049,16-18,1,Extrinsic,24,25.47,50,27,0.54,3,3,0,2.05,3,1,1,0.02,3,0,2,1.01,45.48,76.4,1,0
P0050,13-15,0,Intrinsic,17,7.82,29,23,0.793,4,5,1,4.19,9,6,3,0.103,2,1,2,0.5,47.75,84.55,1,0
P0051,23-30,1,Social,14,27.09,37,22,0.595,2,2,0,5.47,15,7,0,0.0,1,6,4,1.16,48.11,79.73,1,0
P0052,19-22,5,Extrinsic,13,16.63,36,27,0.75,5,5,0,1.35,6,3,1,0.028,2,1,6,10.72,73.13,86.67,1,0
P0053,23-30,5,Intrinsic,12,13.23,33,22,0.667,2,2,0,3.72,9,3,1,0.03,0,1,5,6.41,63.87,82.42,1,0
P0054,23-30,4,Extrinsic,11,13.16,23,7,0.304,2,3,1,4.31,8,7,2,0.087,0,1,21,0.5,43.9,60.61,1,0
P0055,19-22,2,Intrinsic,11,25.47,29,22,0.759,2,2,0,1.71,2,1,1,0.034,0,6,7,2.09,68.07,86.9,1,0
P0056,23-30,3,Intrinsic,6,20.22,9,2,0.222,5,6,1,5.53,15,5,2,0.222,0,0,11,0.5,32.06,52.44,0,0
P0057,13-15,0,Social,11,8.54,17,5,0.294,5,8,3,4.07,10,4,3,0.176,2,1,5,4.67,28.09,53.41,0,0
P0058,13-15,0,Intrinsic,23,25.82,50,31,0.62,4,4,0,2.42,3,3,0,0.0,1,1,2,1.4,45.24,81.0,1,0
P0059,13-15,2,Extrinsic,21,10.48,44,19,0.432,3,4,1,6.67,11,9,2,0.045,2,1,8,7.29,35.1,68.23,1,0
P0060,16-18,3,Social,3,23.12,8,6,0.75,3,4,1,4.28,9,9,1,0.125,0,3,7,0.5,60.79,81.75,1,0
P0061,16-18,1,Extrinsic,8,23.91,13,10,0.769,5,6,1,4.89,12,6,3,0.231,0,8,2,3.97,59.55,79.54,1,0
P0062,16-18,2,Intrinsic,21,29.08,50,27,0.54,3,2,1,5.53,4,8,1,0.02,3,4,8,1.53,46.77,74.4,1,0
P0063,19-22,4,Intrinsic,23,36.25,50,44,0.88,5,4,1,2.52,3,4,2,0.04,1,1,0,0.94,71.39,90.8,1,0
P0064,16-18,0,Intrinsic,10,11.08,27,18,0.667,2,2,0,4.87,7,5,0,0.0,1,3,0,2.19,43.98,83.33,1,0
P0065,16-18,1,Extrinsic,17,21.58,46,15,0.326,2,5,3,3.75,9,5,1,0.022,4,0,9,1.99,32.68,59.65,0,0
P0066,16-18,0,Intrinsic,14,19.79,40,14,0.35,4,4,0,2.18,1,3,0,0.0,0,1,11,1.29,35.04,67.5,1,0
P0067,13-15,0,Intrinsic,8,25.47,15,12,0.8,1,3,2,3.59,8,7,1,0.067,1,3,4,3.14,52.52,84.0,1,0
P0068,19-22,3,Social,8,23.73,23,13,0.565,5,7,2,3.07,3,3,6,0.261,1,2,4,3.25,54.94,66.43,1,0
P0069,13-15,2,Extrinsic,23,19.18,39,25,0.641,3,6,3,5.73,11,4,7,0.179,1,2,3,0.5,47.31,70.67,1,0
P0070,23-30,4,Intrinsic,10,18.47,16,5,0.312,5,8,3,4.9,10,8,2,0.125,1,0,1,2.71,41.25,55.88,0,0
P0071,19-22,3,Extrinsic,7,13.07,15,11,0.733,2,5,3,3.76,10,6,3,0.2,0,7,2,3.72,67.43,74.67,1,0
P0072,13-15,0,Extrinsic,14,29.9,38,10,0.263,4,3,1,4.51,7,9,0,0.0,1,4,5,0.5,30.25,61.16,1,0
P0073,13-15,2,Intrinsic,7,25.67,15,9,0.6,3,2,1,3.09,5,4,0,0.0,0,1,9,3.23,50.78,78.0,1,0
P0074,19-22,5,Intrinsic,2,29.34,5,2,0.4,3,5,2,3.51,8,6,6,1.2,0,1,10,4.89,53.73,30.0,0,0
P0075,19-22,4,Social,15,19.52,38,11,0.289,3,6,3,4.57,9,8,0,0.0,2,0,5,5.35,41.15,58.47,0,1
P0076,19-22,3,Extrinsic,15,16.75,27,19,0.704,5,6,1,4.2,5,5,1,0.037,4,3,3,0.5,59.16,82.07,1,0
P0077,19-22,5,Extrinsic,11,13.37,32,26,0.812,3,5,2,4.58,13,5,3,0.094,2,0,5,3.59,66.04,83.81,1,0
P0078,13-15,0,Intrinsic,13,24.87,20,19,0.95,2,5,3,3.96,8,6,3,0.15,1,6,1,4.78,62.11,87.0,1,0
P0079,16-18,3,Intrinsic,14,13.68,39,11,0.282,5,6,1,4.77,6,8,3,0.077,5,2,2,1.52,39.36,59.79,0,0
P0080,13-15,0,Intrinsic,2,36.79,3,1,0.333,2,5,3,4.17,6,6,6,2.0,0,2,3,2.35,30.92,0.67,0,1
P0081,23-30,5,Intrinsic,10,11.54,22,11,0.5,2,2,0,2.02,5,1,0,0.0,1,9,0,0.92,73.46,75.0,1,0
P0082,19-22,3,Intrinsic,5,24.19,10,7,0.7,1,2,1,1.3,2,2,1,0.1,2,1,4,1.11,63.26,80.0,1,0
P0083,16-18,3,Intrinsic,18,34.53,31,23,0.742,4,4,0,4.47,12,7,2,0.065,2,2,4,2.09,58.49,85.16,1,0
P0084,13-15,0,Social,17,26.79,34,20,0.588,2,1,1,3.52,7,5,2,0.059,1,1,6,0.5,41.23,75.65,1,0
P0085,16-18,5,Social,21,23.41,37,34,0.919,2,4,2,4.32,7,9,4,0.108,1,5,5,1.39,78.47,88.7,1,0
P0086,16-18,0,Extrinsic,3,14.25,5,4,0.8,5,8,3,6.07,10,12,3,0.6,0,3,5,1.08,46.33,66.0,1,0
P0087,19-22,5,Social,15,10.95,26,20,0.769,4,6,2,3.28,4,5,4,0.154,0,8,3,0.82,79.56,79.85,1,0
P0088,19-22,4,Intrinsic,13,28.16,29,19,0.655,1,4,3,2.44,6,5,3,0.103,1,3,10,1.98,65.61,73.66,1,0
P0089,23-30,3,Social,18,34.05,48,13,0.271,4,4,0,3.1,7,4,0,0.0,4,0,3,5.47,40.07,63.54,1,0
P0090,16-18,1,Intrinsic,16,18.49,37,15,0.405,5,6,1,3.96,15,5,2,0.054,0,1,15,0.83,36.81,66.65,1,0
P0091,13-15,0,Social,10,12.89,28,11,0.393,1,2,1,3.11,8,5,3,0.107,1,0,3,3.23,32.95,64.43,1,0
P0092,19-22,4,Social,10,5.0,24,18,0.75,4,7,3,6.71,7,6,3,0.125,0,5,3,0.88,61.72,77.75,1,0
P0093,19-22,4,Extrinsic,28,14.15,50,40,0.8,3,3,0,1.0,1,3,0,0.0,1,3,3,0.5,75.0,90.0,1,0
P0094,19-22,3,Social,15,21.09,37,21,0.568,3,6,3,6.18,14,11,2,0.054,1,1,10,8.61,45.75,70.76,1,0
P0095,19-22,3,Extrinsic,7,34.79,15,9,0.6,3,6,3,5.69,10,14,7,0.467,0,6,3,3.01,55.78,60.0,0,0
P0096,16-18,5,Intrinsic,11,27.39,27,7,0.259,3,6,3,5.19,10,10,4,0.148,1,1,0,0.5,43.91,52.52,0,0
P0097,16-18,4,Intrinsic,10,24.44,16,9,0.562,1,2,1,1.0,4,5,0,0.0,2,2,3,3.0,64.0,76.12,1,0
P0098,16-18,2,Extrinsic,17,18.8,47,32,0.681,4,7,3,6.43,12,11,2,0.043,0,2,2,0.58,47.17,76.77,1,0
P0099,13-15,0,Intrinsic,15,17.33,40,27,0.675,1,2,1,1.96,4,1,1,0.025,2,4,14,6.56,53.1,81.0,1,0
P0100,13-15,0,Extrinsic,8,33.25,14,9,0.643,3,2,1,2.74,4,7,2,0.143,3,5,2,0.85,51.37,75.86,1,0
P0101,13-15,0,Social,16,23.61,42,29,0.69,2,2,0,2.74,5,3,3,0.071,1,4,4,4.93,51.76,82.38,1,0
P0102,19-22,2,Intrinsic,11,5.18,16,8,0.5,4,3,1,4.11,4,5,1,0.062,1,2,5,0.67,45.72,71.12,1,0
P0103,16-18,1,Extrinsic,9,16.61,16,11,0.688,2,5,3,5.46,11,9,2,0.125,1,0,2,2.45,42.85,74.62,1,0
P0104,16-18,0,Social,14,15.13,22,9,0.409,3,4,1,4.84,15,7,1,0.045,0,2,6,7.3,32.27,67.09,1,0
P0105,23-30,4,Social,15,17.63,40,21,0.525,3,3,0,4.22,4,8,3,0.075,1,3,3,1.05,55.94,74.0,1,0
P0106,13-15,0,Social,12,26.5,31,17,0.548,4,6,2,4.38,19,2,2,0.065,0,5,2,0.5,43.49,71.48,1,0
P0107,16-18,1,Extrinsic,13,21.14,35,20,0.571,3,3,0,3.62,4,7,1,0.029,0,3,6,2.41,47.3,77.71,1,0
P0108,19-22,5,Social,26,21.39,39,25,0.641,4,4,0,1.36,5,0,2,0.051,0,3,10,0.57,71.73,80.51,1,0
P0109,13-15,0,Extrinsic,11,32.51,24,23,0.958,1,4,3,3.37,3,7,7,0.292,1,3,7,3.91,59.4,83.17,1,0
P0110,13-15,0,Intrinsic,11,16.43,28,14,0.5,2,1,1,4.84,6,7,2,0.071,0,3,2,2.68,37.39,70.86,1,0
P0111,16-18,2,Extrinsic,11,36.91,19,5,0.263,3,2,1,4.76,16,4,0,0.0,2,2,1,1.28,34.64,61.16,1,0
P0112,13-15,1,Extrinsic,11,16.63,27,9,0.333,5,7,2,5.09,6,8,4,0.148,3,4,2,3.67,35.62,58.22,0,1
P0113,23-30,5,Intrinsic,6,22.71,9,4,0.444,1,4,3,3.73,9,3,3,0.333,0,3,2,0.82,57.96,56.22,0,0
P0114,19-22,3,Extrinsic,7,19.75,12,7,0.583,1,1,0,4.37,8,7,1,0.083,3,1,3,7.47,50.92,76.67,1,0
P0115,19-22,5,Extrinsic,6,22.99,13,7,0.538,2,1,1,1.76,5,3,1,0.077,0,2,7,1.28,65.14,72.62,1,0
P0116,23-30,3,Intrinsic,10,25.56,24,9,0.375,3,2,1,5.12,11,9,1,0.042,0,2,2,4.32,42.21,65.5,1,0
P0117,19-22,3,Extrinsic,10,25.47,17,15,0.882,2,3,1,3.11,4,7,2,0.118,0,6,5,0.9,73.52,88.59,1,0
P0118,13-15,1,Extrinsic,11,15.98,19,8,0.421,4,4,0,5.53,12,5,3,0.158,0,1,3,3.76,33.53,66.32,1,0
P0119,23-30,4,Extrinsic,8,13.02,14,9,0.643,1,4,3,2.22,4,4,11,0.786,0,5,6,0.5,68.67,52.57,0,0
P0120,16-18,0,Intrinsic,9,42.03,16,10,0.625,2,1,1,6.15,14,19,3,0.188,0,2,7,1.05,37.64,73.62,1,0
P0121,19-22,5,Intrinsic,15,18.13,27,16,0.593,2,5,3,3.96,9,8,4,0.148,1,3,14,0.5,63.31,69.19,1,0
P0122,23-30,5,Intrinsic,9,27.59,18,10,0.556,3,3,0,2.43,5,4,1,0.056,0,3,9,1.8,65.65,76.11,1,0
P0123,16-18,1,Social,5,9.14,12,7,0.583,3,3,0,3.29,6,13,0,0.0,0,2,0,1.71,47.1,79.17,1,0
P0124,13-15,0,Intrinsic,8,19.76,17,13,0.765,1,1,0,1.95,5,3,1,0.059,0,2,0,1.33,53.7,86.47,1,0
P0125,13-15,0,Extrinsic,20,20.98,50,26,0.52,5,7,2,3.89,11,6,1,0.02,1,5,2,11.92,43.57,71.4,1,0
P0126,16-18,2,Intrinsic,12,25.78,30,25,0.833,2,5,3,3.39,4,5,2,0.067,2,5,3,0.84,65.35,83.67,1,0
P0127,19-22,3,Intrinsic,8,5.0,13,4,0.308,4,7,3,3.45,5,4,8,0.615,1,3,6,4.7,45.19,40.92,0,0
P0128,23-30,2,Social,13,23.33,20,13,0.65,3,4,1,4.23,3,6,3,0.15,0,3,9,1.78,52.92,76.0,1,0
P0129,13-15,0,Extrinsic,10,12.8,28,10,0.357,2,2,0,1.65,4,4,0,0.0,0,2,4,1.22,38.17,67.86,1,0
P0130,16-18,3,Intrinsic,8,24.59,12,5,0.417,4,4,0,1.85,8,2,0,0.0,0,2,2,0.68,52.05,70.83,1,0
P0131,16-18,2,Intrinsic,6,13.71,10,7,0.7,4,3,1,1.44,2,4,1,0.1,2,5,3,3.01,64.9,80.0,1,0
P0132,13-15,0,Intrinsic,11,15.16,16,7,0.438,2,1,1,2.74,7,4,3,0.188,1,2,4,1.22,38.64,64.25,1,0
P0133,13-15,1,Extrinsic,5,19.81,12,5,0.417,3,2,1,5.47,6,10,2,0.167,0,2,2,5.03,35.0,63.83,1,0
P0134,16-18,0,Extrinsic,13,13.58,30,11,0.367,2,3,1,2.23,4,6,3,0.1,1,1,6,10.37,35.59,63.33,1,0
P0135,23-30,5,Intrinsic,14,18.2,41,24,0.585,3,5,2,2.9,11,1,4,0.098,0,3,4,0.77,65.66,72.34,1,0
P0136,16-18,0,Intrinsic,20,12.45,50,31,0.62,2,1,1,3.79,8,8,5,0.1,3,2,4,0.5,43.32,76.0,1,0
P0137,16-18,1,Intrinsic,8,7.33,16,6,0.375,4,3,1,2.94,8,4,1,0.062,0,2,7,1.14,39.64,64.88,1,0
P0138,19-22,2,Social,18,30.14,37,20,0.541,2,1,1,6.84,23,7,4,0.108,0,2,7,1.89,40.52,71.78,1,0
P0139,16-18,0,Social,10,11.63,19,11,0.579,1,2,1,3.26,8,7,1,0.053,3,2,9,1.07,43.02,75.37,1,0
P0140,23-30,5,Intrinsic,13,20.57,22,10,0.455,2,5,3,5.0,12,7,5,0.227,1,1,5,10.57,52.17,59.91,0,0
P0141,23-30,3,Extrinsic,14,28.02,23,17,0.739,2,4,2,5.42,10,6,3,0.13,3,3,1,4.53,57.53,79.04,1,0
P0142,16-18,2,Intrinsic,18,17.08,30,19,0.633,3,6,3,5.89,15,6,6,0.2,1,4,3,10.16,49.62,69.67,1,0
P0143,16-18,1,Intrinsic,17,15.4,28,11,0.393,2,2,0,3.35,9,4,0,0.0,2,3,7,1.4,40.84,69.64,1,0
P0144,16-18,2,Extrinsic,7,23.81,13,6,0.462,4,4,0,2.76,3,1,3,0.231,1,1,7,1.09,46.07,66.15,1,0
